PFAS,tissue,toadID,day,concentration_ug_per_kg
8:2 FTS,liver,22-0231,0,0
8:2 FTS,liver,22-0246,0,0
8:2 FTS,liver,22-0247,0,0
8:2 FTS,liver,22-0237,0,0
8:2 FTS,liver,22-0197,7,89.42
8:2 FTS,liver,22-0212,7,78.81
8:2 FTS,liver,22-0214,7,88.8
8:2 FTS,liver,22-0232,7,52.91
8:2 FTS,liver,22-0234,7,47.8
8:2 FTS,liver,22-0249,7,80.33
8:2 FTS,liver,22-0200,14,69.55
8:2 FTS,liver,22-0215,14,83.47
8:2 FTS,liver,22-0216,14,94.05
8:2 FTS,liver,22-0233,14,69.31
8:2 FTS,liver,22-0250,14,117.22
8:2 FTS,liver,22-0202,21,133.14
8:2 FTS,liver,22-0217,21,40.24
8:2 FTS,liver,22-0218,21,61.57
8:2 FTS,liver,22-0235,21,132.46
8:2 FTS,liver,22-0240,21,68.32
8:2 FTS,liver,22-0251,21,101.83
8:2 FTS,liver,22-0203,28,92.06
8:2 FTS,liver,22-0219,28,84.09
8:2 FTS,liver,22-0221,28,37.78
8:2 FTS,liver,22-0236,28,68.12
8:2 FTS,liver,22-0241,28,71.92
8:2 FTS,liver,22-0252,28,143.07
8:2 FTS,liver,22-0182,35,41.62
8:2 FTS,liver,22-0220,35,27.81
8:2 FTS,liver,22-0224,35,79.83
8:2 FTS,liver,22-0238,35,8.99
8:2 FTS,liver,22-0253,35,46.71
8:2 FTS,liver,22-0255,35,132.9
8:2 FTS,liver,22-0183,42,19.17
8:2 FTS,liver,22-0206,42,2.27
8:2 FTS,liver,22-0222,42,52.55
8:2 FTS,liver,22-0225,42,7.29
8:2 FTS,liver,22-0254,42,27.9
8:2 FTS,liver,22-0186,49,22.68
8:2 FTS,liver,22-0205,49,23.33
8:2 FTS,liver,22-0207,49,12.26
8:2 FTS,liver,22-0223,49,22.16
8:2 FTS,liver,22-0226,49,17.66
8:2 FTS,liver,22-0244,49,4.62
8:2 FTS,liver,22-0187,56,13.63
8:2 FTS,liver,22-0208,56,6.02
8:2 FTS,liver,22-0228,56,5.84
8:2 FTS,liver,22-0229,56,5.84
8:2 FTS,liver,22-0245,56,2.38
8:2 FTS,liver,22-0256,56,0
8:2 FTS,wholebody,22-0180,0,0
8:2 FTS,wholebody,22-0181,0,0
8:2 FTS,wholebody,22-0196,0,0
8:2 FTS,wholebody,22-0199,0,0
